Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.6,0.478,0.6,0.5869,0.592,0.0909,0.0915
1,0.5,0.4931,0.5,0.5606,0.5101,0.0291,0.0316
2,0.625,0.5137,0.625,0.5959,0.6007,0.1018,0.1067
3,0.65,0.6813,0.65,0.6219,0.6204,0.1463,0.1572
4,0.5641,0.4843,0.5641,0.5999,0.5729,0.1219,0.1261
5,0.6154,0.5858,0.6154,0.6229,0.6187,0.1509,0.1512
6,0.6923,0.6967,0.6923,0.6818,0.6852,0.28,0.282
7,0.5385,0.5414,0.5385,0.6085,0.5508,0.1,0.1091
8,0.641,0.5917,0.641,0.641,0.641,0.1923,0.1923
9,0.6154,0.5089,0.6154,0.5766,0.5865,0.0426,0.0449
Mean,0.6042,0.5575,0.6042,0.6096,0.5978,0.1256,0.1293
Std,0.0536,0.0755,0.0536,0.0329,0.046,0.0693,0.069
